city_id,city,state_id
3286,TAMPA,118
3287,Norcross,101
3288,Research Triangle Park,120
3289,CLEVELAND,131
3290,NORWOOD,103
3291,Greenwood Village,132
3292,ANDERSON,135
3293,WILMINGTON,137
3294,ALTAMONTE SPRINGS,118
3295,Pasadena,106
3296,Forney,107
3297,Newark,106
3298,HOUSTON ,107
3299,Prospect Heights,115
3300,ALLEN PARK,102
3301,Fairfax,108
3302,Lexington,116
3303,Hillsborough,118
3304,Menomonee Falls,139
3305,Fairfield,109
3306,Lewisville ,107
3307,Iselin,117
3308,Indianapolis,135
3309,Middletown ,117
3310,San Jose	,106
3311,Lafayette,132
3312,Saint Louis,111
3313,Union,117
3314,Clifton Park,113
3315,Culver City,106
3316,Bridgewater,117
3317,Seattle ,114
3318,NEW BRUNSWICK,117
3319,WILD ROSE,139
3320,Bedminister,117
3321,Bartlett,105
3322,Grand Forks,123
3323,Bloomington,115
3324,Clovis,106
3325, Moon Twp,119
3326,Davie ,118
3327,RESTON,108
3328,Richardson,107
3329,Monroe Township,117
3330,Concord,106
3331,Miami,118
3332,San Bruno,106
3333,Waterloo,129
3334,San Antonio,107
3335,Las Vegas,140
3336,Monrovia,106
3337,Auburn Hills,102
3338,#19820 DETROIT MSA,102
3339,HONOLULU,141
3340,MILFORD,131
3341,Camarillo,106
3342,CHATTANOOGA,105
3343,Lisle,115
3344,RIDGEFIELD,109
3345,CUPERTINO,106
3346, Sunnyvale,106
3347,Saint Paul,104
3348,Peoria,115
3349,Berkeley Heights,117
3350,SILVER SPRING,110
3351,Fort Worth,107
3352,Louisville,132
3353,Birmingham,124
3354,Ithaca,113
3355,Hollywood,118
3356,Gaithersburg,110
3357,Little Rock,142
3358,San Marco,106
3359,MONTGOMERY,124
3360,Corte Madera,106
3361,Green Valley,121
3362,Foster City,106
3363,FRISCO,107
3364,Bloomington ,115
3365,Weehawken ,117
3366,Plainsboro,117
3367,Ashland,103
3368,Peachtree Corners,101
3369,San Mateo,106
3370,Milpitas ,106
3371,Littleton,132
3372,Nashville	,105
3373,Teaneck,117
3374,Fairburn,101
3375,COLUMBIA,134
3376,AUSTIN,107
3377,Riverwoods,115
3378,Irving ,107
3379,Whippany,117
3380,Wickliffe,131
3381,TAMPA ,118
3382,Hackensack,117
3383,Fresno,107
3384,Madison,139
3385,Minneapolis,104
3386,Alpharetta ,101
3387,LOMBARD,115
3388,Kansas City,111
3389,Dalton,101
3390,Bentonville,142
3391,Elgin,115
3392,Covington,101
3393,Waukegan,115
3394,Apt. 204,105
3395,Cumming ,101
3396,DEARBORN,102
3397,Framingham,103
3398,Tucson,121
3399,Milpitas,106
3400,Mechanicsburg,119
3401,O'Fallon,111
3402,Somerset,116
3403,Grand Blanc,102
3404,Germantown,110
3405,NEWARK,117
3406,Seminole,107
3407,Burlington,103
3408,Watertown ,103
3409,SAN JOSE,106
3410,Danville,106
3411,Rocky Hill,109
3412,Drexel Hill,119
3413,Round Rock,107
3414,Aurora,115
3415,"Washington, D.C.",138
3416,Apt 274,106
3417,LANSING,102
3418,Milwaukee,139
3419,St Louis,111
3420,Jacksonville,118
3421,HERNDON,108
3422,Ft. Lauderdale ,118
3423,Gurnee,115
3424,Washington,138
3425,Bismarck,123
3426,Mclean,108
3427,Herndon ,108
3428,Jersey City ,117
3429,New York City,113
3430,Parsippany,117
3431,Fountain Valley,106
3432,DURHAM,120
3433,Rancho Cordova,106
3434,Lake Oswego,130
3435,Ashburn,108
3436,Duluth,101
3437,JOHNS CREEK,101
3438,Springfield,111
3439,HOBOKEN,117
3440,Southington,109
3441,Copiague ,113
3442,DULUTH,101
3443,Shelton ,109
3444,Oaks,119
3445,Cherry Hill,117
3446,Pine Brook,117
3447,NEWARK,137
3448,Ann Arbor,102
3449,WILMINGTON,120
3450,Chattanooga,105
3451,OWINGS MILLS,110
3452,Coppell,107
3453,Gold River,106
3454,Batavia,115
3455,Temple Terrace,118
3456,SALT LAKE CITY,122
3457,Madison Heights,102
3458,West Chicago,115
3459,BELLEVUE,114
3460,High Point,120
3461,Rahway,117
3462,Plymouth,102
3463,Solon,131
3464,El Segundo,106
3465,Apt. 610,117
3466,Tamarac ,118
3467,Lubbock,107
3468,Norfolk,108
3469,AUGUSTA,101
3470,Brookline,103
3471,Vienna,108
3472,Newark ,137
3473,Lake Geneva,139
3474,BROOKLYN,113
3475,Livonia,102
3476,EDINA,104
3477,Folsom,106
3478,Carrollton ,107
3479,Houston ,107
3480,Santa Monica,106
3481, Bellevue,114
3482, Phoenix,121
3483,La Habra,106
3484,RENSSELEAR,113
3485,Bowling Green,116
3486,SUNNYVALE,106
3487, Woodland Hills,106
3488, Seattle,114
3489,Montgomery,124
3490,MACON,101
3491,Monett,111
3492,SEATTLE,114
3493,Brea,106
3494,Lake Forest,115
3495,"Peoria, IL",115
3496,Johnston,129
3497,PHOENIX,121
3498,Horsham,119
3499,The Colony,107
3500,Green Bay,139
3501,Center Point,124
3502,FORT MEADE,118
3503,Greenville,107
3504,Raritan,117
3505,Lewis Center,131
3506,Newark,117
3507,SAvannah,101
3508,Mahwah,117
3509,South Plainfield,117
3510,Kirkland,114
3511,Dayton,131
3512,Rockford,115
3513,Cleveland,131
3514,WOODLAND HILLS,106
3515,Doral,118
3516,Lehi,122
3517,Rantoul,115
3518,Farmington,102
3519,Austin ,107
3520,Huntersville,120
3521,San Rafael,106
3522,"Columbus, ",131
3523,HOLLY SPRINGS,120
3524,UNIVERSITY PARK,119
3525,Goodyear,121
3526,West Palm Beach,118
3527,MASON,131
3528,East Chicago,135
3529,Brawley,106
3530,COLUMBUS,135
3531,Lincolnshire,115
3532,Cedar Rapids,129
3533,Fort Wayne,135
3534,Elmira,113
3535,Arlington,108
3536,Roseville,104
3537,"Bridgewater,",117
3538,MEMPHIS,105
3539,Stamford,109
3540,Oakdale,104
